UTXO_ID,TRANSACTION_HASH,BLOCK_INDEX,OUTPUT_INDEX,TIMESTAMP,TX_TYPE,OUTPUT_TYPE,ADDRESS,CONSUMING_TRANSACTION_HASH,ASSET_ID,LOCKTIME,THRESHOLD,PUBLIC_KEY,SIGNATURE,AMOUNT,GROUP_ID,PAYLOAD,FX_ID,CREATED_ON,CONSUMED_ON,PLATFORM_LOCKTIME,STAKED,STAKEABLE_LOCKTIME,REWARD,LAST_UPDATED,LOAD_TIMESTAMP,CONSUMING_TRANSACTION_TIMESTAMP,STAKING_START_TIME,STAKING_END_TIME,NODE_ID,REWARD_ADDRESSES,CONSUMING_BLOCK_HEIGHT
6ebvPh99XPHYCJhmujUzdkcxUudyBRrsnPJSgxwVQMtZ1HuZe,2G25iEw2ijLkjZYoUvL7C3q7uLoavxyHRz6LZNovGP2qWPSEqM,24114390,2,2026-01-08 08:35:01.000,RewardValidatorTx,,avax19zfygxaf59stehzedhxjesads0p5jdvfeedal0,,FvwEAhmxKfeiG8SnEvq42hc6whRyY3EFYAvebMqDNDGCgxN5Z,0,1,,,634405324,,,spdxUxVJQbX85MGxMHbKw1sHxMnSqJ3QBzDyDYEP3h6TLuxqQ,11111111111111111111111111111111LpoYY,11111111111111111111111111111111LpoYY,1970-01-01 00:00:00.000,false,,true,2026-01-08 08:35:04.676,2026-01-08 08:35:04.676,,,,NodeID-LRMPTwN2c9PQDeYNJaTpJHbLLQbXauwBs,"[
  ""avax19zfygxaf59stehzedhxjesads0p5jdvfeedal0""
]",
2HGom9do1iwDdTHiVTahNBSUV7bENNbtRqnYGcpqNDjDa7GvoD,2hfAP1riUCAQfDaCScEU8W8CQhmtwfnkv4CMkPc9nkGnzZW86o,24114388,2,2026-01-08 08:34:48.000,RewardValidatorTx,,avax19zfygxaf59stehzedhxjesads0p5jdvfeedal0,,FvwEAhmxKfeiG8SnEvq42hc6whRyY3EFYAvebMqDNDGCgxN5Z,0,1,,,440689485,,,spdxUxVJQbX85MGxMHbKw1sHxMnSqJ3QBzDyDYEP3h6TLuxqQ,11111111111111111111111111111111LpoYY,11111111111111111111111111111111LpoYY,1970-01-01 00:00:00.000,false,,true,2026-01-08 08:34:49.583,2026-01-08 08:34:49.583,,,,NodeID-6mSXCB3r7oeP8Suy1AWroDY2KEF9hT9Mi,"[
  ""avax19zfygxaf59stehzedhxjesads0p5jdvfeedal0""
]",
2nApLJUUESHGtVDReDpaenmV6rGqmh5shuajo8FJqaqHRQWp6C,Fe6zgyLZ4BffnQ5PaWCBFYTB3DeUHYgWqcLSsGpde5c4E3xgv,24114386,2,2026-01-08 08:34:24.000,RewardValidatorTx,,avax19zfygxaf59stehzedhxjesads0p5jdvfeedal0,,FvwEAhmxKfeiG8SnEvq42hc6whRyY3EFYAvebMqDNDGCgxN5Z,0,1,,,410113647,,,spdxUxVJQbX85MGxMHbKw1sHxMnSqJ3QBzDyDYEP3h6TLuxqQ,11111111111111111111111111111111LpoYY,11111111111111111111111111111111LpoYY,1970-01-01 00:00:00.000,false,,true,2026-01-08 08:34:25.466,2026-01-08 08:34:25.466,,,,NodeID-2BET5GEQm8YKa1GTRe3DjR64XAerETJWW,"[
  ""avax19zfygxaf59stehzedhxjesads0p5jdvfeedal0""
]",
cy7nmzV5eyxqKTgpV8Sx5foFggkHqYgwJBRL59LwngRpH4X7E,LsUHGxNHpAa4sQmdh4RcoFd3LMfP4dwb39RLddgjNG5TjDpnB,24114384,2,2026-01-08 08:34:03.000,RewardValidatorTx,,avax19zfygxaf59stehzedhxjesads0p5jdvfeedal0,,FvwEAhmxKfeiG8SnEvq42hc6whRyY3EFYAvebMqDNDGCgxN5Z,0,1,,,866819925,,,spdxUxVJQbX85MGxMHbKw1sHxMnSqJ3QBzDyDYEP3h6TLuxqQ,11111111111111111111111111111111LpoYY,11111111111111111111111111111111LpoYY,1970-01-01 00:00:00.000,false,,true,2026-01-08 08:34:05.331,2026-01-08 08:34:05.331,,,,NodeID-6mSXCB3r7oeP8Suy1AWroDY2KEF9hT9Mi,"[
  ""avax19zfygxaf59stehzedhxjesads0p5jdvfeedal0""
]",
22hnRZQq2dStjZ1XdT5B4HxzMYvSLVhQRY9piHustCyC9sipPp,mYogtm3S34trzKSYghqKudbJdCd2iRySKug755yUhe1Kf2p9q,24114382,2,2026-01-08 08:33:59.000,RewardValidatorTx,,avax19zfygxaf59stehzedhxjesads0p5jdvfeedal0,,FvwEAhmxKfeiG8SnEvq42hc6whRyY3EFYAvebMqDNDGCgxN5Z,0,1,,,384081160,,,spdxUxVJQbX85MGxMHbKw1sHxMnSqJ3QBzDyDYEP3h6TLuxqQ,11111111111111111111111111111111LpoYY,11111111111111111111111111111111LpoYY,1970-01-01 00:00:00.000,false,,true,2026-01-08 08:34:05.331,2026-01-08 08:34:05.331,,,,NodeID-6CvNXT1Vw4bH8gxhWR63PuyXTMXtzQTRH,"[
  ""avax19zfygxaf59stehzedhxjesads0p5jdvfeedal0""
]",
a8RitzLeaMU49tXTocxmwocTWte39yzHPKqhCPCSwG7DQ3tNT,BezMDTurNELutUFJF4evTHRTr585yFgD7nGyEnHbbSezG2QKQ,24114380,2,2026-01-08 08:33:58.000,RewardValidatorTx,,avax19zfygxaf59stehzedhxjesads0p5jdvfeedal0,,FvwEAhmxKfeiG8SnEvq42hc6whRyY3EFYAvebMqDNDGCgxN5Z,0,1,,,380307978,,,spdxUxVJQbX85MGxMHbKw1sHxMnSqJ3QBzDyDYEP3h6TLuxqQ,11111111111111111111111111111111LpoYY,11111111111111111111111111111111LpoYY,1970-01-01 00:00:00.000,false,,true,2026-01-08 08:34:00.194,2026-01-08 08:34:00.194,,,,NodeID-J7n7bUvog8Zdgj4bCNxRzjzrSKAirk7vi,"[
  ""avax19zfygxaf59stehzedhxjesads0p5jdvfeedal0""
]",
yxF4g7c2rFbEBLjjo7KuHBsD4WF18AqaJNEH1CRRHENBz24vj,218KAwCCBg2iErSU1K7w3vz9SnWdAS4GwwYgxbJTgf6ZKAmX3V,24114379,0,2026-01-08 08:33:55.000,AddPermissionlessDelegatorTx,,avax1tnuesf6cqwnjw7fxjyk7lhch0vhf0v95wj5jvy,,FvwEAhmxKfeiG8SnEvq42hc6whRyY3EFYAvebMqDNDGCgxN5Z,0,1,,,1092216708016,,,spdxUxVJQbX85MGxMHbKw1sHxMnSqJ3QBzDyDYEP3h6TLuxqQ,11111111111111111111111111111111LpoYY,11111111111111111111111111111111LpoYY,1970-01-01 00:00:00.000,false,,false,2026-01-08 08:34:00.194,2026-01-08 08:34:00.194,,2026-01-08 08:33:55.000,2026-01-23 05:46:02.000,NodeID-FaknRS6nvpPGegDsfnqFuE125EMbwisQS,"[
  ""avax19zfygxaf59stehzedhxjesads0p5jdvfeedal0""
]",
2SPHFHTxhj5oJc12ew3SJ4X2Spt7ocETFnie2UgiLgunbf92PN,218KAwCCBg2iErSU1K7w3vz9SnWdAS4GwwYgxbJTgf6ZKAmX3V,24114379,1,2026-01-08 08:33:55.000,AddPermissionlessDelegatorTx,,avax1tnuesf6cqwnjw7fxjyk7lhch0vhf0v95wj5jvy,,FvwEAhmxKfeiG8SnEvq42hc6whRyY3EFYAvebMqDNDGCgxN5Z,0,1,,,481775706337,,,spdxUxVJQbX85MGxMHbKw1sHxMnSqJ3QBzDyDYEP3h6TLuxqQ,11111111111111111111111111111111LpoYY,11111111111111111111111111111111LpoYY,1970-01-01 00:00:00.000,true,,false,2026-01-08 08:34:00.194,2026-01-08 08:34:00.194,,2026-01-08 08:33:55.000,2026-01-23 05:46:02.000,NodeID-FaknRS6nvpPGegDsfnqFuE125EMbwisQS,"[
  ""avax19zfygxaf59stehzedhxjesads0p5jdvfeedal0""
]",
2FUzsg9w6P58cVXjpPnZSYdJkzFsWwKiMETQCXWtWTVN7osV24,2cEyL8JG3gTe83PxmKL9UdwEugr2LbWbLDRpAmkZcyasHxM8Fu,24114378,1,2026-01-08 08:33:52.000,AddPermissionlessDelegatorTx,,avax1tnuesf6cqwnjw7fxjyk7lhch0vhf0v95wj5jvy,,FvwEAhmxKfeiG8SnEvq42hc6whRyY3EFYAvebMqDNDGCgxN5Z,0,1,,,2247695767887,,,spdxUxVJQbX85MGxMHbKw1sHxMnSqJ3QBzDyDYEP3h6TLuxqQ,11111111111111111111111111111111LpoYY,11111111111111111111111111111111LpoYY,1970-01-01 00:00:00.000,true,,false,2026-01-08 08:33:54.091,2026-01-08 08:33:54.091,,2026-01-08 08:33:52.000,2026-01-22 12:29:48.000,NodeID-2iWqUM3VWvrcTLyXi2KgBLVhunMvFW7vY,"[
  ""avax19zfygxaf59stehzedhxjesads0p5jdvfeedal0""
]",
xW3mPh2KWzgzTciUL9Ke3ADdt5oXppWHXjWwdCYKrYHTtpU74,2cEyL8JG3gTe83PxmKL9UdwEugr2LbWbLDRpAmkZcyasHxM8Fu,24114378,0,2026-01-08 08:33:52.000,AddPermissionlessDelegatorTx,,avax1tnuesf6cqwnjw7fxjyk7lhch0vhf0v95wj5jvy,218KAwCCBg2iErSU1K7w3vz9SnWdAS4GwwYgxbJTgf6ZKAmX3V,FvwEAhmxKfeiG8SnEvq42hc6whRyY3EFYAvebMqDNDGCgxN5Z,0,1,A6rT2g4cHByzSOLz+Mrx+ONJCEbmfioBs8wmia9yy/yQ,iCpYXv/S0O2HhTNkTwcwLIHO/BYI4sF6dsDcWbVQZpBE514nYFz8+DvRV4PPlyBdunz9jqKwM3VZWtFygxwv1wA,1573992422652,,,spdxUxVJQbX85MGxMHbKw1sHxMnSqJ3QBzDyDYEP3h6TLuxqQ,11111111111111111111111111111111LpoYY,11111111111111111111111111111111LpoYY,1970-01-01 00:00:00.000,false,,false,2026-01-08 08:34:00.194,2026-01-08 08:33:54.091,2026-01-08 08:33:55.000,2026-01-08 08:33:52.000,2026-01-22 12:29:48.000,NodeID-2iWqUM3VWvrcTLyXi2KgBLVhunMvFW7vY,"[
  ""avax19zfygxaf59stehzedhxjesads0p5jdvfeedal0""
]",24114379
